user_id,installed_at,created_at,updated_at,channel,campaign,total_revenue,total_rewards,num_touchpoints
u019167,8/3/2023 17:19,8/3/2023 17:51,8/3/2023 17:51,google_ads,summer_sale,321.14,3.18,3
u019244,8/3/2023 7:51,8/3/2023 7:54,8/3/2023 7:54,twitter,new_user_promo,41.06,0.39,5
u019342,8/4/2023 19:53,8/4/2023 20:05,8/4/2023 20:05,instagram,brand_awareness,182.63,1.85,5
u019446,8/5/2023 8:19,8/5/2023 8:29,8/5/2023 8:29,twitter,retargeting,401.23,4.01,5
u019522,8/6/2023 11:40,8/6/2023 11:45,8/6/2023 11:45,instagram,retargeting,61.85,0.62,2
u019965,8/11/2023 13:17,8/11/2023 13:30,8/11/2023 13:30,google_ads,new_user_promo,9.55,0.08,3
u020157,8/13/2023 7:20,8/13/2023 8:11,8/13/2023 8:11,google_ads,new_user_promo,21.61,0.2,1
u020737,8/18/2023 22:37,8/18/2023 23:15,8/18/2023 23:15,facebook,retargeting,358.96,3.59,3
u020846,8/19/2023 11:28,8/19/2023 12:23,8/19/2023 12:23,instagram,new_user_promo,59.83,0.6,4
u020930,8/20/2023 0:52,8/20/2023 1:04,8/20/2023 1:04,facebook,retargeting,954,9.54,3
u020987,8/21/2023 15:04,8/21/2023 15:53,8/21/2023 15:53,google_ads,summer_sale,427.88,4.28,4
u021222,8/23/2023 16:07,8/23/2023 16:55,8/23/2023 16:55,google_ads,retargeting,248.14,2.49,4
u021249,8/23/2023 10:12,8/23/2023 11:03,8/23/2023 11:03,facebook,holiday_special,39.56,0.38,3
u021563,8/26/2023 15:42,8/26/2023 15:53,8/26/2023 15:53,facebook,holiday_special,693.04,6.93,3
u021747,8/28/2023 20:16,8/28/2023 20:29,8/28/2023 20:29,google_ads,retargeting,18.25,0.18,5
u021976,8/30/2023 0:19,8/30/2023 1:19,8/30/2023 1:19,google_ads,retargeting,75.87,0.77,2
u022177,9/1/2023 5:55,9/1/2023 6:19,9/1/2023 6:19,google_ads,summer_sale,133.79,1.35,1
u022258,9/2/2023 20:33,9/2/2023 20:48,9/2/2023 20:48,google_ads,holiday_special,1141.48,11.42,5
u022291,9/2/2023 5:41,9/2/2023 6:30,9/2/2023 6:30,instagram,new_user_promo,52.5,0.53,1
u022303,9/2/2023 13:32,9/2/2023 13:57,9/2/2023 13:57,instagram,retargeting,400.06,4,1
u022384,9/3/2023 2:45,9/3/2023 2:47,9/3/2023 2:47,affiliate,new_user_promo,131.41,1.3,2
u022856,9/9/2023 0:54,9/9/2023 0:54,9/9/2023 0:54,facebook,new_user_promo,20.42,0.23,3
u023378,9/15/2023 14:53,9/15/2023 15:07,9/15/2023 15:07,facebook,retargeting,32.82,0.33,3
u023584,9/18/2023 12:13,9/18/2023 12:45,9/18/2023 12:45,google_ads,summer_sale,201.26,2,4
u023645,9/18/2023 1:53,9/18/2023 2:53,9/18/2023 2:53,twitter,new_user_promo,89.53,0.89,5
u023746,9/20/2023 2:49,9/20/2023 3:10,9/20/2023 3:10,google_ads,new_user_promo,335.96,3.35,3
u023837,9/20/2023 13:58,9/20/2023 14:57,9/20/2023 14:57,affiliate,brand_awareness,51.11,0.5,4
u023993,9/22/2023 22:54,9/22/2023 23:43,9/22/2023 23:43,affiliate,new_user_promo,70.05,0.72,5
u024090,9/24/2023 7:58,9/24/2023 8:32,9/24/2023 8:32,google_ads,retargeting,83.04,0.83,4
u024671,10/1/2023 18:57,10/1/2023 18:58,10/1/2023 18:58,google_ads,holiday_special,116.46,1.16,4
u024762,10/2/2023 11:50,10/2/2023 12:22,10/2/2023 12:22,facebook,summer_sale,71.93,0.72,5
u024822,10/2/2023 17:54,10/2/2023 17:56,10/2/2023 17:56,affiliate,holiday_special,61.65,0.6,3
u024868,10/3/2023 10:12,10/3/2023 10:45,10/3/2023 10:45,facebook,holiday_special,513.07,5.14,2
u024966,10/4/2023 21:22,10/4/2023 22:18,10/4/2023 22:18,facebook,summer_sale,380.8,3.83,5
u025237,10/7/2023 20:16,10/7/2023 21:06,10/7/2023 21:06,facebook,retargeting,897.21,8.99,5
u025322,10/8/2023 8:34,10/8/2023 9:25,10/8/2023 9:25,twitter,summer_sale,330.42,3.31,2
u025726,10/13/2023 6:25,10/13/2023 6:49,10/13/2023 6:49,google_ads,retargeting,328.42,3.26,2
u025867,10/15/2023 10:58,10/15/2023 11:07,10/15/2023 11:07,google_ads,summer_sale,371.18,3.7,4
u025899,10/15/2023 22:20,10/15/2023 22:21,10/15/2023 22:21,facebook,retargeting,115.07,1.15,5
u026536,10/23/2023 7:24,10/23/2023 8:22,10/23/2023 8:22,google_ads,holiday_special,322.47,3.22,2
u026738,10/25/2023 0:01,10/25/2023 0:57,10/25/2023 0:57,facebook,holiday_special,1727.07,17.27,3
u027490,11/2/2023 13:05,11/2/2023 13:39,11/2/2023 13:39,facebook,retargeting,150.25,1.49,3
u027572,11/3/2023 23:21,11/4/2023 0:01,11/4/2023 0:01,google_ads,holiday_special,113.96,1.14,4
u027615,11/3/2023 6:02,11/3/2023 6:57,11/3/2023 6:57,facebook,brand_awareness,46.99,0.47,1
u027964,11/6/2023 22:21,11/6/2023 22:54,11/6/2023 22:54,instagram,holiday_special,70.44,0.71,5
u028177,11/8/2023 11:05,11/8/2023 11:13,11/8/2023 11:13,facebook,summer_sale,530.01,5.3,3
u028332,11/9/2023 8:32,11/9/2023 9:04,11/9/2023 9:04,facebook,retargeting,296.55,2.97,1
u028777,11/13/2023 22:18,11/13/2023 22:29,11/13/2023 22:29,facebook,summer_sale,353.36,3.53,2
u028800,11/13/2023 1:33,11/13/2023 2:20,11/13/2023 2:20,instagram,new_user_promo,80.17,0.81,1
u029352,11/17/2023 19:40,11/17/2023 19:55,11/17/2023 19:55,affiliate,retargeting,189.32,1.89,4
u029633,11/20/2023 7:38,11/20/2023 8:19,11/20/2023 8:19,facebook,retargeting,792.34,7.93,2
u029699,11/20/2023 3:16,11/20/2023 3:36,11/20/2023 3:36,affiliate,retargeting,56.31,0.55,2
u029889,11/22/2023 7:51,11/22/2023 8:15,11/22/2023 8:15,facebook,summer_sale,71.28,0.71,4
u029915,11/22/2023 4:05,11/22/2023 4:43,11/22/2023 4:43,instagram,new_user_promo,43.99,0.44,1
u030183,11/24/2023 9:33,11/24/2023 9:56,11/24/2023 9:56,instagram,summer_sale,71.02,0.71,4
u030229,11/24/2023 11:06,11/24/2023 11:53,11/24/2023 11:53,affiliate,retargeting,34.62,0.35,5
u030312,11/25/2023 23:26,11/25/2023 23:47,11/25/2023 23:47,twitter,holiday_special,191.34,1.92,3
u030445,11/27/2023 12:33,11/27/2023 12:51,11/27/2023 12:51,google_ads,brand_awareness,7.52,0.08,4
u030458,11/27/2023 13:38,11/27/2023 14:04,11/27/2023 14:04,facebook,new_user_promo,63.93,0.64,4
u030730,11/29/2023 20:26,11/29/2023 20:48,11/29/2023 20:48,facebook,summer_sale,289.32,2.89,3
u031193,12/3/2023 21:11,12/3/2023 21:55,12/3/2023 21:55,google_ads,new_user_promo,110.19,1.1,3
u031207,12/3/2023 22:58,12/3/2023 23:24,12/3/2023 23:24,google_ads,holiday_special,106.72,1.07,2
u031404,12/4/2023 11:02,12/4/2023 11:34,12/4/2023 11:34,twitter,retargeting,68.84,0.69,1
u031704,12/7/2023 1:37,12/7/2023 1:57,12/7/2023 1:57,facebook,holiday_special,501.94,5.02,1
u031972,12/9/2023 3:55,12/9/2023 4:16,12/9/2023 4:16,facebook,summer_sale,15.41,0.15,3
u032207,12/11/2023 0:42,12/11/2023 1:29,12/11/2023 1:29,instagram,new_user_promo,13.12,0.13,1
u032281,12/12/2023 18:32,12/12/2023 19:25,12/12/2023 19:25,google_ads,retargeting,47.83,0.48,5
u032347,12/12/2023 8:34,12/12/2023 9:15,12/12/2023 9:15,twitter,summer_sale,168.33,1.69,3
u032376,12/13/2023 6:32,12/13/2023 6:37,12/13/2023 6:37,google_ads,new_user_promo,310.19,3.1,3
u032716,12/15/2023 16:38,12/15/2023 16:43,12/15/2023 16:43,instagram,new_user_promo,5.44,0.05,5
u032800,12/16/2023 2:20,12/16/2023 2:25,12/16/2023 2:25,google_ads,retargeting,26.75,0.27,1
u032959,12/17/2023 10:35,12/17/2023 11:02,12/17/2023 11:02,affiliate,new_user_promo,509.91,5.1,5
u033088,12/18/2023 19:58,12/18/2023 20:25,12/18/2023 20:25,twitter,retargeting,23.23,0.23,4
u033291,12/20/2023 15:24,12/20/2023 16:22,12/20/2023 16:22,instagram,new_user_promo,21.31,0.21,3
u033559,12/22/2023 10:55,12/22/2023 11:28,12/22/2023 11:28,instagram,holiday_special,116.18,1.16,2
u033660,12/23/2023 4:42,12/23/2023 5:05,12/23/2023 5:05,facebook,retargeting,32.86,0.33,5
u034123,12/27/2023 23:42,12/27/2023 23:47,12/27/2023 23:47,facebook,summer_sale,37.81,0.38,4
u034663,12/31/2023 20:14,12/31/2023 20:47,12/31/2023 20:47,instagram,holiday_special,0,0,4
u034671,12/31/2023 7:00,12/31/2023 7:40,12/31/2023 7:40,instagram,retargeting,0,0,2
u000158,1/2/2023 2:34,1/2/2023 3:02,1/2/2023 3:02,affiliate,retargeting,201.8,2.01,3
u000456,1/6/2023 17:48,1/6/2023 18:29,1/6/2023 18:29,facebook,brand_awareness,87.99,0.86,3
u000532,1/7/2023 14:12,1/7/2023 14:50,1/7/2023 14:50,facebook,new_user_promo,32.65,0.32,2
u000564,1/7/2023 9:04,1/7/2023 9:56,1/7/2023 9:56,twitter,holiday_special,1078.04,10.77,5
u000573,1/7/2023 9:17,1/7/2023 9:49,1/7/2023 9:49,affiliate,brand_awareness,151.44,1.52,5
u001046,1/13/2023 8:36,1/13/2023 9:22,1/13/2023 9:22,facebook,holiday_special,613.73,6.11,2
u001323,1/17/2023 16:31,1/17/2023 17:00,1/17/2023 17:00,google_ads,summer_sale,292.79,2.92,3
u001336,1/17/2023 3:18,1/17/2023 3:21,1/17/2023 3:21,google_ads,retargeting,169.21,1.66,1
u001410,1/18/2023 17:53,1/18/2023 18:33,1/18/2023 18:33,google_ads,new_user_promo,161.38,1.6,3
u001591,1/20/2023 18:24,1/20/2023 18:32,1/20/2023 18:32,google_ads,holiday_special,462.39,4.62,2
u001808,1/22/2023 3:07,1/22/2023 3:07,1/22/2023 3:07,twitter,retargeting,132.51,1.31,1
u001810,1/22/2023 12:17,1/22/2023 13:05,1/22/2023 13:05,affiliate,summer_sale,60.69,0.59,4
u002214,1/27/2023 17:08,1/27/2023 17:51,1/27/2023 17:51,facebook,retargeting,58.97,0.59,1
u002224,1/27/2023 12:35,1/27/2023 12:47,1/27/2023 12:47,instagram,holiday_special,421.53,4.21,1
u002578,2/1/2023 1:02,2/1/2023 1:17,2/1/2023 1:17,google_ads,new_user_promo,96.27,0.95,3
u002673,2/2/2023 5:08,2/2/2023 5:16,2/2/2023 5:16,google_ads,summer_sale,175.29,1.74,1
u002752,2/2/2023 12:13,2/2/2023 12:58,2/2/2023 12:58,affiliate,retargeting,124.06,1.21,3
u003106,2/7/2023 5:12,2/7/2023 5:48,2/7/2023 5:48,facebook,retargeting,143.88,1.41,4
u003589,2/13/2023 18:32,2/13/2023 19:02,2/13/2023 19:02,facebook,retargeting,265.91,2.65,5
u004276,2/21/2023 4:21,2/21/2023 5:15,2/21/2023 5:15,instagram,retargeting,83.45,0.8,2
u004669,2/26/2023 13:52,2/26/2023 14:52,2/26/2023 14:52,facebook,retargeting,302.44,3.02,1
u004996,3/2/2023 20:29,3/2/2023 21:16,3/2/2023 21:16,facebook,brand_awareness,37.63,0.36,3
u005214,3/5/2023 12:47,3/5/2023 13:31,3/5/2023 13:31,google_ads,retargeting,775.32,7.74,5
u005310,3/6/2023 7:03,3/6/2023 7:41,3/6/2023 7:41,instagram,new_user_promo,135.48,1.33,4
u005635,3/10/2023 4:58,3/10/2023 5:47,3/10/2023 5:47,google_ads,retargeting,93.38,0.93,1
u005776,3/12/2023 21:30,3/12/2023 22:20,3/12/2023 22:20,google_ads,new_user_promo,116.87,1.15,5
u006350,3/18/2023 7:55,3/18/2023 8:08,3/18/2023 8:08,facebook,retargeting,201.32,1.99,2
u006393,3/19/2023 6:53,3/19/2023 7:02,3/19/2023 7:02,google_ads,summer_sale,120.17,1.16,1
u006660,3/22/2023 10:32,3/22/2023 11:04,3/22/2023 11:04,google_ads,retargeting,55.96,0.55,4
u006741,3/23/2023 22:00,3/23/2023 22:44,3/23/2023 22:44,google_ads,brand_awareness,45.48,0.45,1
u006972,3/25/2023 3:55,3/25/2023 4:50,3/25/2023 4:50,affiliate,brand_awareness,41.46,0.42,5
u007168,3/28/2023 23:26,3/29/2023 0:22,3/29/2023 0:22,google_ads,retargeting,48.37,0.48,5
u007229,3/28/2023 4:45,3/28/2023 5:03,3/28/2023 5:03,affiliate,summer_sale,900.54,8.99,1
u007371,3/30/2023 17:29,3/30/2023 18:23,3/30/2023 18:23,facebook,retargeting,342.89,3.39,4
u007555,4/1/2023 6:36,4/1/2023 7:10,4/1/2023 7:10,twitter,holiday_special,250.44,2.5,4
u007558,4/1/2023 8:53,4/1/2023 9:35,4/1/2023 9:35,twitter,retargeting,175,1.74,2
u007678,4/3/2023 4:28,4/3/2023 5:21,4/3/2023 5:21,facebook,holiday_special,81.24,0.8,2
u007877,4/5/2023 20:54,4/5/2023 21:01,4/5/2023 21:01,instagram,new_user_promo,28.57,0.28,4
u008053,4/7/2023 5:25,4/7/2023 5:39,4/7/2023 5:39,facebook,holiday_special,181.96,1.81,4
u009143,4/20/2023 4:43,4/20/2023 5:22,4/20/2023 5:22,facebook,retargeting,95.04,0.95,2
u009251,4/21/2023 5:59,4/21/2023 6:29,4/21/2023 6:29,instagram,retargeting,122.57,1.22,1
u009397,4/23/2023 11:41,4/23/2023 11:58,4/23/2023 11:58,twitter,new_user_promo,106.46,1.05,2
u009635,4/26/2023 3:13,4/26/2023 3:27,4/26/2023 3:27,facebook,summer_sale,458.78,4.57,4
u009659,4/26/2023 12:46,4/26/2023 12:56,4/26/2023 12:56,instagram,new_user_promo,77.29,0.77,1
u010082,5/1/2023 12:39,5/1/2023 13:07,5/1/2023 13:07,instagram,holiday_special,380.32,3.8,5
u010088,5/1/2023 7:10,5/1/2023 7:56,5/1/2023 7:56,instagram,retargeting,101.11,1.02,1
u010104,5/1/2023 15:02,5/1/2023 15:06,5/1/2023 15:06,affiliate,new_user_promo,29.28,0.28,4
u010229,5/3/2023 1:20,5/3/2023 1:28,5/3/2023 1:28,facebook,new_user_promo,193.36,1.94,3
u010314,5/4/2023 4:44,5/4/2023 4:56,5/4/2023 4:56,google_ads,brand_awareness,91.08,0.9,1
u010887,5/11/2023 13:52,5/11/2023 14:33,5/11/2023 14:33,google_ads,new_user_promo,141.97,1.41,3
u011057,5/12/2023 14:28,5/12/2023 14:33,5/12/2023 14:33,affiliate,new_user_promo,29.96,0.29,4
u011321,5/16/2023 1:05,5/16/2023 1:30,5/16/2023 1:30,facebook,new_user_promo,41.55,0.4,3
u011429,5/17/2023 20:29,5/17/2023 21:11,5/17/2023 21:11,facebook,retargeting,173.87,1.74,4
u011651,5/19/2023 9:48,5/19/2023 9:57,5/19/2023 9:57,affiliate,retargeting,30.39,0.28,2
u012115,5/25/2023 18:00,5/25/2023 18:28,5/25/2023 18:28,facebook,summer_sale,103.74,1.03,5
u012783,6/2/2023 20:46,6/2/2023 20:53,6/2/2023 20:53,google_ads,summer_sale,216.31,2.15,4
u012804,6/2/2023 11:42,6/2/2023 12:24,6/2/2023 12:24,google_ads,retargeting,690.94,6.9,4
u012831,6/2/2023 20:21,6/2/2023 20:39,6/2/2023 20:39,facebook,holiday_special,17.08,0.16,4
u012889,6/2/2023 12:34,6/2/2023 13:01,6/2/2023 13:01,affiliate,holiday_special,300.57,3,2
u013054,6/4/2023 13:37,6/4/2023 14:34,6/4/2023 14:34,instagram,holiday_special,403.45,4.02,1
u013132,6/5/2023 9:23,6/5/2023 9:57,6/5/2023 9:57,facebook,holiday_special,519.56,5.17,3
u013325,6/7/2023 13:56,6/7/2023 14:46,6/7/2023 14:46,google_ads,new_user_promo,270.48,2.71,2
u013407,6/7/2023 14:30,6/7/2023 14:52,6/7/2023 14:52,twitter,retargeting,581.93,5.83,2
u013522,6/8/2023 22:48,6/8/2023 23:12,6/8/2023 23:12,affiliate,holiday_special,916.91,9.16,1
u013596,6/9/2023 4:56,6/9/2023 5:13,6/9/2023 5:13,instagram,holiday_special,45.48,0.45,5
u013763,6/11/2023 7:58,6/11/2023 8:18,6/11/2023 8:18,instagram,summer_sale,13.96,0.12,3
u013814,6/12/2023 2:27,6/12/2023 3:01,6/12/2023 3:01,google_ads,brand_awareness,135.39,1.36,5
u014034,6/14/2023 4:02,6/14/2023 4:28,6/14/2023 4:28,google_ads,retargeting,220.66,2.21,3
u014122,6/14/2023 8:11,6/14/2023 8:38,6/14/2023 8:38,affiliate,retargeting,102.59,1.03,4
u014154,6/15/2023 9:04,6/15/2023 9:15,6/15/2023 9:15,google_ads,retargeting,661.38,6.61,4
u014178,6/15/2023 5:42,6/15/2023 5:51,6/15/2023 5:51,facebook,retargeting,104.8,1.06,3
u014521,6/19/2023 22:50,6/19/2023 23:42,6/19/2023 23:42,google_ads,holiday_special,978.23,9.77,5
u014734,6/21/2023 9:52,6/21/2023 10:01,6/21/2023 10:01,google_ads,summer_sale,490.15,4.91,3
u014847,6/22/2023 21:47,6/22/2023 22:20,6/22/2023 22:20,google_ads,holiday_special,100.27,0.97,3
u014937,6/22/2023 10:24,6/22/2023 11:13,6/22/2023 11:13,affiliate,retargeting,92.3,0.93,4
u015956,7/3/2023 0:08,7/3/2023 1:00,7/3/2023 1:00,google_ads,summer_sale,398.24,3.95,2
u016362,7/6/2023 22:15,7/6/2023 23:06,7/6/2023 23:06,instagram,summer_sale,40.08,0.38,2
u016374,7/6/2023 23:43,7/7/2023 0:33,7/7/2023 0:33,twitter,new_user_promo,32.09,0.32,3
u017297,7/16/2023 17:32,7/16/2023 17:37,7/16/2023 17:37,google_ads,summer_sale,36.52,0.37,4
u017298,7/16/2023 4:14,7/16/2023 4:49,7/16/2023 4:49,google_ads,holiday_special,490.81,4.92,2
u017777,7/20/2023 15:54,7/20/2023 16:22,7/20/2023 16:22,twitter,holiday_special,53.19,0.52,1
u018011,7/23/2023 7:07,7/23/2023 7:53,7/23/2023 7:53,google_ads,summer_sale,76.96,0.77,2
u018057,7/23/2023 9:15,7/23/2023 10:04,7/23/2023 10:04,instagram,brand_awareness,80.52,0.8,1
